S/N,Vet Centre,Block Number,Street,Building,Level,Unit,Singapore,Postal Code,Contact Number
1,AAVC- Animal & Avian Veterinary Clinic,716,Yishun Street 71,AAVC-Animal & Avian Veterinary Clinic,1,254,Singapore,760716,6568539397
2,Acacia Vet & Surgery,338,Ang Mo Kio Avenue 1,Teck Ghee Court,1,1671,Singapore,560338,6564816889
3,Ace Vet Care,271,Balestier Road,Victory Point,,,Singapore,329722,6562582159
4,Advanced Vetcare,283,Outram Road,,,,Singapore,169068,6565751788
5,Advanced Vetcare,26,Jalan Pari Burong,Picardy Garden,,,Singapore,488692,6566361788
6,Advanced Vetcare,18,Jalan Pari Burong,Picardy Garden,,,Singapore,488684,6566361788
7,Advanced Vetcare @ Balestier,564A,Balestier Road,,,,Singapore,329880,6565651788
8,Allpets & Aqualife Vets Pte Ltd,24,Jalan Kelulut,,1,1,Singapore,809041,6564813700
9,Amber Cat Vet Pte Ltd,48,Burnfoot Terrace,Frankel Estate,,,Singapore,459836,6562464647
10,Amber Veterinary Practice Pte Ltd,50,Burnfoot Terrace,Amber Veterinary Practice,,,Singapore,459837,6562464647
11,Animal Infirmary Pte. Ltd.,112,Lavender Street,Chang Hua Building,1,1,Singapore,338728,6563582663
12,Animal Medical Centre(Vet@RV),78,Indus Road,Animal Medical Centre (Vet@RV),1,487,Singapore,161078,6562710665
13,Animal Wellness Centre Pte Ltd,1,Vista Exchange Green,The Star,1,15,Singapore,138617,6566946383
14,Animal Wellness Referral Centre Pte Ltd,200,Bukit Timah Road,Atland House,1,1,Singapore,229862,6565303530
15,Animal World Veterinary Clinic,16,Yio Chu Kang Road,,1,,Singapore,545527,6562860929
16,Apex Veterinary Clinic,462,River Valley Road,,,462,Singapore,248347,6567673369
17,Apex Veterinary Medical Center Pte Ltd Punggol,418,Northshore Drive,,2,213,Singapore,820418,6565183233
18,Atlas Veterinary Clinic & Surgery,163,Bukit Merah Central,,3,3579,Singapore,150163,6569808038
19,Atlas Veterinary Clinic & Surgery,163,Bukit Merah Central,,3,3573,Singapore,150163,6569808038
20,AVH Animal Ark Veterinary Group,139,Tampines Street 11,,1,54,Singapore,521139,6565871797
21,AVH Animal Ark Veterinary Group (Springleaf),5,Mandai Road,,,,Singapore,779391,6564673287
22,Barkway Pet Health Pte. Ltd.,169,Macpherson Road,,1,0,Singapore,348535,6569044300
23,Beecroft Animal Specialist And Emergency Hospital,991E,Alexandra Road,,1,27,Singapore,119973,6569961812
24,Bluewater Vet Acupuncture & Rehabilitation,6,Sin Ming Road,Sin Ming Plaza,1,9,Singapore,575585,6587753041
25,Brighton Vet Care (Bukit Timah),611,Bukit Timah Road,,,,Singapore,269712,6562352250
26,Brighton Vet Care (Katong),438,Joo Chiat Road,,,,Singapore,427651,6562149521
27,Brighton Vet Care (Serangoon Garden),74,Serangoon Garden Way,Serangoon Garden Estate,,,Singapore,555970,6562822484
28,Canopy Veterinary Centre,1,Yuan Ching Road,Superbowl Jurong,3,3,Singapore,618640,6569808582
29,Care Veterinary Clinic Pte Ltd,124,Lorong 1 Toa Payoh,,1,473,Singapore,310124,6562500535
30,Clinic For Pets,1015,Geylang East Avenue 3,Geylang East Industrial Estate,1,141,Singapore,389730,6567451337
31,Clover Vet,678,Hougang Avenue 8,,1,503,Singapore,530678,6565189678
32,Companion Animal Surgery Pte Ltd,12,Boon Teck Road,,1,5,Singapore,329586,6562557950
33,Dr Paws Vet Care,77,Lucky Heights,Lucky Court,,,Singapore,467626,6562434668
34,Edmond Tan Veterinary Surgery,151,Serangoon North Avenue 2,,1,65,Singapore,550151,6562821581
35,Evervet Veterinary Clinic,212,Changi Road,,1,212,Singapore,419735,6564494491
36,Evervet Veterinary Clinic Pte Ltd,123,Bedok North Street 2,,1,154,Singapore,460123,6564494491
37,Frankel Veterinary Centre,101,Frankel Avenue,,1,na,Singapore,458224,6568761212
